dates,open_interest_CL1
1/3/2000,497
1/4/2000,502
1/5/2000,506
1/6/2000,507
1/7/2000,511
1/10/2000,520
1/11/2000,526
1/12/2000,508
1/13/2000,507
1/14/2000,532
1/17/2000,532
1/18/2000,554
1/19/2000,530
1/20/2000,526
1/21/2000,505
1/24/2000,499
1/25/2000,498
1/26/2000,497
1/27/2000,502
1/28/2000,503
1/31/2000,497
2/1/2000,499
2/2/2000,502
2/3/2000,511
2/4/2000,517
2/7/2000,522
2/8/2000,527
2/9/2000,521
2/10/2000,526
2/11/2000,536
2/14/2000,540
2/15/2000,539
2/16/2000,549
2/17/2000,542
2/18/2000,535
2/21/2000,535
2/22/2000,519
2/23/2000,505
2/24/2000,499
2/25/2000,501
2/28/2000,498
2/29/2000,492
3/1/2000,500
3/2/2000,508
3/3/2000,512
3/6/2000,510
3/7/2000,512
3/8/2000,519
3/9/2000,530
3/10/2000,524
3/13/2000,536
3/14/2000,538
3/15/2000,540
3/16/2000,537
3/17/2000,540
3/20/2000,557
3/21/2000,533
3/22/2000,506
3/23/2000,492
3/24/2000,486
3/27/2000,486
3/28/2000,487
3/29/2000,486
3/30/2000,488
3/31/2000,483
4/3/2000,491
4/4/2000,492
4/5/2000,491
4/6/2000,505
4/7/2000,503
4/10/2000,504
4/11/2000,502
4/12/2000,501
4/13/2000,498
4/14/2000,488
4/17/2000,471
4/18/2000,462
4/19/2000,462
4/20/2000,447
4/21/2000,447
4/24/2000,426
4/25/2000,426
4/26/2000,424
4/27/2000,427
4/28/2000,423
5/1/2000,426
5/2/2000,428
5/3/2000,439
5/4/2000,438
5/5/2000,440
5/8/2000,444
5/9/2000,447
5/10/2000,456
5/11/2000,449
5/12/2000,458
5/15/2000,467
5/16/2000,469
5/17/2000,470
5/18/2000,470
5/19/2000,463
5/22/2000,459
5/23/2000,453
5/24/2000,446
5/25/2000,451
5/26/2000,458
5/29/2000,458
5/30/2000,452
5/31/2000,456
6/1/2000,453
6/2/2000,450
6/5/2000,456
6/6/2000,456
6/7/2000,460
6/8/2000,456
6/9/2000,470
6/12/2000,477
6/13/2000,485
6/14/2000,506
6/15/2000,515
6/16/2000,497
6/19/2000,487
6/20/2000,473
6/21/2000,455
6/22/2000,445
6/23/2000,441
6/26/2000,444
6/27/2000,442
6/28/2000,439
6/29/2000,441
6/30/2000,444
7/3/2000,444
7/4/2000,444
7/5/2000,438
7/6/2000,437
7/7/2000,434
7/10/2000,431
7/11/2000,433
7/12/2000,428
7/13/2000,430
7/14/2000,449
7/17/2000,465
7/18/2000,466
7/19/2000,457
7/20/2000,448
7/21/2000,444
7/24/2000,431
7/25/2000,416
7/26/2000,412
7/27/2000,413
7/28/2000,409
7/31/2000,296
8/1/2000,411
8/2/2000,407
8/3/2000,414
8/4/2000,414
8/7/2000,420
8/8/2000,421
8/9/2000,414
8/10/2000,417
8/11/2000,430
8/14/2000,429
8/15/2000,427
8/16/2000,432
8/17/2000,435
8/18/2000,432
8/21/2000,421
8/22/2000,417
8/23/2000,408
8/24/2000,404
8/25/2000,399
8/28/2000,400
8/29/2000,405
8/30/2000,407
8/31/2000,417
9/1/2000,420
9/4/2000,420
9/5/2000,422
9/6/2000,433
9/7/2000,443
9/8/2000,456
9/11/2000,469
9/12/2000,485
9/13/2000,478
9/14/2000,491
9/15/2000,492
9/18/2000,489
9/19/2000,480
9/20/2000,470
9/21/2000,455
9/22/2000,449
9/25/2000,450
9/26/2000,447
9/27/2000,448
9/28/2000,454
9/29/2000,454
10/2/2000,460
10/3/2000,467
10/4/2000,463
10/5/2000,476
10/6/2000,483
10/9/2000,484
10/10/2000,480
10/11/2000,480
10/12/2000,487
10/13/2000,516
10/16/2000,518
10/17/2000,508
10/18/2000,503
10/19/2000,481
10/20/2000,475
10/23/2000,461
10/24/2000,454
10/25/2000,459
10/26/2000,462
10/27/2000,461
10/30/2000,465
10/31/2000,465
11/1/2000,473
11/2/2000,473
11/3/2000,473
11/6/2000,477
11/7/2000,472
11/8/2000,474
11/9/2000,474
11/10/2000,479
11/13/2000,486
11/14/2000,487
11/15/2000,492
11/16/2000,493
11/17/2000,493
11/20/2000,478
11/21/2000,471
11/22/2000,476
11/23/2000,476
11/24/2000,476
11/27/2000,477
11/28/2000,470
11/29/2000,471
11/30/2000,480
12/1/2000,485
12/4/2000,480
12/5/2000,474
12/6/2000,479
12/7/2000,469
12/8/2000,463
12/11/2000,459
12/12/2000,452
12/13/2000,450
12/14/2000,451
12/15/2000,445
12/18/2000,443
12/19/2000,429
12/20/2000,410
12/21/2000,408
12/22/2000,408
12/25/2000,408
12/26/2000,410
12/27/2000,408
12/28/2000,410
12/29/2000,407
1/1/2001,407
1/2/2001,408
1/3/2001,412
1/4/2001,415
1/5/2001,409
1/8/2001,418
1/9/2001,435
1/10/2001,442
1/11/2001,456
1/12/2001,454
1/15/2001,454
1/16/2001,450
1/17/2001,460
1/18/2001,455
1/19/2001,455
1/22/2001,448
1/23/2001,442
1/24/2001,431
1/25/2001,422
1/26/2001,419
1/29/2001,418
1/30/2001,417
1/31/2001,415
2/1/2001,417
2/2/2001,431
2/5/2001,434
2/6/2001,433
2/7/2001,439
2/8/2001,442
2/9/2001,444
2/12/2001,360
2/13/2001,444
2/14/2001,447
2/15/2001,449
2/16/2001,451
2/19/2001,451
2/20/2001,442
2/21/2001,437
2/22/2001,425
2/23/2001,426
2/26/2001,430
2/27/2001,432
2/28/2001,431
3/1/2001,430
3/2/2001,425
3/5/2001,429
3/6/2001,429
3/7/2001,434
3/8/2001,430
3/9/2001,430
3/12/2001,435
3/13/2001,438
3/14/2001,440
3/15/2001,453
3/16/2001,438
3/19/2001,432
3/20/2001,433
3/21/2001,439
3/22/2001,424
3/23/2001,423
3/26/2001,427
3/27/2001,428
3/28/2001,431
3/29/2001,438
3/30/2001,431
4/2/2001,430
4/3/2001,426
4/4/2001,422
4/5/2001,425
4/6/2001,426
4/9/2001,422
4/10/2001,423
4/11/2001,341
4/12/2001,427
4/13/2001,427
4/16/2001,427
4/17/2001,432
4/18/2001,431
4/19/2001,430
4/20/2001,420
4/23/2001,417
4/24/2001,405
4/25/2001,406
4/26/2001,406
4/27/2001,407
4/30/2001,414
5/1/2001,412
5/2/2001,413
5/3/2001,418
5/4/2001,421
5/7/2001,430
5/8/2001,435
5/9/2001,421
5/10/2001,421
5/11/2001,436
5/14/2001,441
5/15/2001,445
5/16/2001,445
5/17/2001,454
5/18/2001,455
5/21/2001,462
5/22/2001,472
5/23/2001,467
5/24/2001,455
5/25/2001,462
5/28/2001,462
5/29/2001,447
5/30/2001,449
5/31/2001,451
6/1/2001,446
6/4/2001,464
6/5/2001,468
6/6/2001,463
6/7/2001,464
6/8/2001,458
6/11/2001,453
6/12/2001,448
6/13/2001,452
6/14/2001,459
6/15/2001,469
6/18/2001,482
6/19/2001,481
6/20/2001,467
6/21/2001,472
6/22/2001,460
6/25/2001,458
6/26/2001,462
6/27/2001,460
6/28/2001,466
6/29/2001,450
7/2/2001,453
7/3/2001,451
7/4/2001,451
7/5/2001,446
7/6/2001,449
7/9/2001,438
7/10/2001,442
7/11/2001,440
7/12/2001,451
7/13/2001,455
7/16/2001,491
7/17/2001,454
7/18/2001,454
7/19/2001,461
7/20/2001,463
7/23/2001,445
7/24/2001,438
7/25/2001,437
7/26/2001,443
7/27/2001,450
7/30/2001,450
7/31/2001,453
8/1/2001,459
8/2/2001,460
8/3/2001,464
8/6/2001,463
8/7/2001,464
8/8/2001,472
8/9/2001,482
8/10/2001,488
8/13/2001,489
8/14/2001,487
8/15/2001,489
8/16/2001,492
8/17/2001,478
8/20/2001,472
8/21/2001,457
8/22/2001,436
8/23/2001,431
8/24/2001,433
8/27/2001,443
8/28/2001,445
8/29/2001,442
8/30/2001,447
8/31/2001,444
9/3/2001,444
9/4/2001,446
9/5/2001,449
9/6/2001,453
9/7/2001,338
9/10/2001,474
9/11/2001,474
9/12/2001,474
9/13/2001,474
9/14/2001,465
9/17/2001,474
9/18/2001,451
9/19/2001,450
9/20/2001,450
9/21/2001,428
9/24/2001,397
9/25/2001,396
9/26/2001,402
9/27/2001,416
9/28/2001,420
10/1/2001,422
10/2/2001,424
10/3/2001,428
10/4/2001,434
10/5/2001,433
10/8/2001,446
10/9/2001,445
10/10/2001,446
10/11/2001,448
10/12/2001,452
10/15/2001,452
10/16/2001,450
