datesoi,open_interest_CL1
03-Jan-2000,497
04-Jan-2000,502
05-Jan-2000,506
06-Jan-2000,507
07-Jan-2000,511
10-Jan-2000,520
11-Jan-2000,526
12-Jan-2000,508
13-Jan-2000,507
14-Jan-2000,532
17-Jan-2000,532
18-Jan-2000,554
19-Jan-2000,530
20-Jan-2000,526
21-Jan-2000,505
24-Jan-2000,499
25-Jan-2000,498
26-Jan-2000,497
27-Jan-2000,502
28-Jan-2000,503
31-Jan-2000,497
01-Feb-2000,499
02-Feb-2000,502
03-Feb-2000,511
04-Feb-2000,517
07-Feb-2000,522
08-Feb-2000,527
09-Feb-2000,521
10-Feb-2000,526
11-Feb-2000,536
14-Feb-2000,540
15-Feb-2000,539
16-Feb-2000,549
17-Feb-2000,542
18-Feb-2000,535
21-Feb-2000,535
22-Feb-2000,519
23-Feb-2000,505
24-Feb-2000,499
25-Feb-2000,501
28-Feb-2000,498
29-Feb-2000,492
01-Mar-2000,500
02-Mar-2000,508
03-Mar-2000,512
06-Mar-2000,510
07-Mar-2000,512
08-Mar-2000,519
09-Mar-2000,530
10-Mar-2000,524
13-Mar-2000,536
14-Mar-2000,538
15-Mar-2000,540
16-Mar-2000,537
17-Mar-2000,540
20-Mar-2000,557
21-Mar-2000,533
22-Mar-2000,506
23-Mar-2000,492
24-Mar-2000,486
27-Mar-2000,486
28-Mar-2000,487
29-Mar-2000,486
30-Mar-2000,488
31-Mar-2000,483
03-Apr-2000,491
04-Apr-2000,492
05-Apr-2000,491
06-Apr-2000,505
07-Apr-2000,503
10-Apr-2000,504
11-Apr-2000,502
12-Apr-2000,501
13-Apr-2000,498
14-Apr-2000,488
17-Apr-2000,471
18-Apr-2000,462
19-Apr-2000,462
20-Apr-2000,447
21-Apr-2000,447
24-Apr-2000,426
25-Apr-2000,426
26-Apr-2000,424
27-Apr-2000,427
28-Apr-2000,423
01-May-2000,426
02-May-2000,428
03-May-2000,439
04-May-2000,438
05-May-2000,440
08-May-2000,444
09-May-2000,447
10-May-2000,456
11-May-2000,449
12-May-2000,458
15-May-2000,467
16-May-2000,469
17-May-2000,470
18-May-2000,470
19-May-2000,463
22-May-2000,459
23-May-2000,453
24-May-2000,446
25-May-2000,451
26-May-2000,458
29-May-2000,458
30-May-2000,452
31-May-2000,456
01-Jun-2000,453
02-Jun-2000,450
05-Jun-2000,456
06-Jun-2000,456
07-Jun-2000,460
08-Jun-2000,456
09-Jun-2000,470
12-Jun-2000,477
13-Jun-2000,485
14-Jun-2000,506
15-Jun-2000,515
16-Jun-2000,497
19-Jun-2000,487
20-Jun-2000,473
21-Jun-2000,455
22-Jun-2000,445
23-Jun-2000,441
26-Jun-2000,444
27-Jun-2000,442
28-Jun-2000,439
29-Jun-2000,441
30-Jun-2000,444
03-Jul-2000,444
04-Jul-2000,444
05-Jul-2000,438
06-Jul-2000,437
07-Jul-2000,434
10-Jul-2000,431
11-Jul-2000,433
12-Jul-2000,428
13-Jul-2000,430
14-Jul-2000,449
17-Jul-2000,465
18-Jul-2000,466
19-Jul-2000,457
20-Jul-2000,448
21-Jul-2000,444
24-Jul-2000,431
25-Jul-2000,416
26-Jul-2000,412
27-Jul-2000,413
28-Jul-2000,409
31-Jul-2000,296
01-Aug-2000,411
02-Aug-2000,407
03-Aug-2000,414
04-Aug-2000,414
07-Aug-2000,420
08-Aug-2000,421
09-Aug-2000,414
10-Aug-2000,417
11-Aug-2000,430
14-Aug-2000,429
15-Aug-2000,427
16-Aug-2000,432
17-Aug-2000,435
18-Aug-2000,432
21-Aug-2000,421
22-Aug-2000,417
23-Aug-2000,408
24-Aug-2000,404
25-Aug-2000,399
28-Aug-2000,400
29-Aug-2000,405
30-Aug-2000,407
31-Aug-2000,417
01-Sep-2000,420
04-Sep-2000,420
05-Sep-2000,422
06-Sep-2000,433
07-Sep-2000,443
08-Sep-2000,456
11-Sep-2000,469
12-Sep-2000,485
13-Sep-2000,478
14-Sep-2000,491
15-Sep-2000,492
18-Sep-2000,489
19-Sep-2000,480
20-Sep-2000,470
21-Sep-2000,455
22-Sep-2000,449
25-Sep-2000,450
26-Sep-2000,447
27-Sep-2000,448
28-Sep-2000,454
29-Sep-2000,454
02-Oct-2000,460
03-Oct-2000,467
04-Oct-2000,463
05-Oct-2000,476
06-Oct-2000,483
09-Oct-2000,484
10-Oct-2000,480
11-Oct-2000,480
12-Oct-2000,487
13-Oct-2000,516
16-Oct-2000,518
17-Oct-2000,508
18-Oct-2000,503
19-Oct-2000,481
20-Oct-2000,475
23-Oct-2000,461
24-Oct-2000,454
25-Oct-2000,459
26-Oct-2000,462
27-Oct-2000,461
30-Oct-2000,465
31-Oct-2000,465
01-Nov-2000,473
02-Nov-2000,473
03-Nov-2000,473
06-Nov-2000,477
07-Nov-2000,472
08-Nov-2000,474
09-Nov-2000,474
10-Nov-2000,479
13-Nov-2000,486
14-Nov-2000,487
15-Nov-2000,492
16-Nov-2000,493
17-Nov-2000,493
20-Nov-2000,478
21-Nov-2000,471
22-Nov-2000,476
23-Nov-2000,476
24-Nov-2000,476
27-Nov-2000,477
28-Nov-2000,470
29-Nov-2000,471
30-Nov-2000,480
01-Dec-2000,485
04-Dec-2000,480
05-Dec-2000,474
06-Dec-2000,479
07-Dec-2000,469
08-Dec-2000,463
11-Dec-2000,459
12-Dec-2000,452
13-Dec-2000,450
14-Dec-2000,451
15-Dec-2000,445
18-Dec-2000,443
19-Dec-2000,429
20-Dec-2000,410
21-Dec-2000,408
22-Dec-2000,408
25-Dec-2000,408
26-Dec-2000,410
27-Dec-2000,408
28-Dec-2000,410
29-Dec-2000,407
01-Jan-2001,407
02-Jan-2001,408
03-Jan-2001,412
04-Jan-2001,415
05-Jan-2001,409
08-Jan-2001,418
09-Jan-2001,435
10-Jan-2001,442
11-Jan-2001,456
12-Jan-2001,454
15-Jan-2001,454
16-Jan-2001,450
17-Jan-2001,460
18-Jan-2001,455
19-Jan-2001,455
22-Jan-2001,448
23-Jan-2001,442
24-Jan-2001,431
25-Jan-2001,422
26-Jan-2001,419
29-Jan-2001,418
30-Jan-2001,417
31-Jan-2001,415
01-Feb-2001,417
02-Feb-2001,431
05-Feb-2001,434
06-Feb-2001,433
07-Feb-2001,439
08-Feb-2001,442
09-Feb-2001,444
12-Feb-2001,360
13-Feb-2001,444
14-Feb-2001,447
15-Feb-2001,449
16-Feb-2001,451
19-Feb-2001,451
20-Feb-2001,442
21-Feb-2001,437
22-Feb-2001,425
23-Feb-2001,426
26-Feb-2001,430
27-Feb-2001,432
28-Feb-2001,431
01-Mar-2001,430
02-Mar-2001,425
05-Mar-2001,429
06-Mar-2001,429
07-Mar-2001,434
08-Mar-2001,430
09-Mar-2001,430
12-Mar-2001,435
13-Mar-2001,438
14-Mar-2001,440
15-Mar-2001,453
16-Mar-2001,438
19-Mar-2001,432
20-Mar-2001,433
21-Mar-2001,439
22-Mar-2001,424
23-Mar-2001,423
26-Mar-2001,427
27-Mar-2001,428
28-Mar-2001,431
29-Mar-2001,438
30-Mar-2001,431
02-Apr-2001,430
03-Apr-2001,426
04-Apr-2001,422
05-Apr-2001,425
06-Apr-2001,426
09-Apr-2001,422
10-Apr-2001,423
11-Apr-2001,341
12-Apr-2001,427
13-Apr-2001,427
16-Apr-2001,427
17-Apr-2001,432
18-Apr-2001,431
19-Apr-2001,430
20-Apr-2001,420
23-Apr-2001,417
24-Apr-2001,405
25-Apr-2001,406
26-Apr-2001,406
27-Apr-2001,407
30-Apr-2001,414
01-May-2001,412
02-May-2001,413
03-May-2001,418
04-May-2001,421
07-May-2001,430
08-May-2001,435
09-May-2001,421
10-May-2001,421
11-May-2001,436
14-May-2001,441
15-May-2001,445
16-May-2001,445
17-May-2001,454
18-May-2001,455
21-May-2001,462
22-May-2001,472
23-May-2001,467
24-May-2001,455
25-May-2001,462
28-May-2001,462
29-May-2001,447
30-May-2001,449
31-May-2001,451
01-Jun-2001,446
04-Jun-2001,464
05-Jun-2001,468
06-Jun-2001,463
07-Jun-2001,464
08-Jun-2001,458
11-Jun-2001,453
12-Jun-2001,448
13-Jun-2001,452
14-Jun-2001,459
15-Jun-2001,469
18-Jun-2001,482
19-Jun-2001,481
20-Jun-2001,467
21-Jun-2001,472
22-Jun-2001,460
25-Jun-2001,458
26-Jun-2001,462
27-Jun-2001,460
28-Jun-2001,466
29-Jun-2001,450
02-Jul-2001,453
03-Jul-2001,451
04-Jul-2001,451
05-Jul-2001,446
06-Jul-2001,449
09-Jul-2001,438
10-Jul-2001,442
11-Jul-2001,440
12-Jul-2001,451
13-Jul-2001,455
16-Jul-2001,491
17-Jul-2001,454
18-Jul-2001,454
19-Jul-2001,461
20-Jul-2001,463
23-Jul-2001,445
24-Jul-2001,438
25-Jul-2001,437
26-Jul-2001,443
27-Jul-2001,450
30-Jul-2001,450
31-Jul-2001,453
01-Aug-2001,459
02-Aug-2001,460
03-Aug-2001,464
06-Aug-2001,463
07-Aug-2001,464
08-Aug-2001,472
09-Aug-2001,482
10-Aug-2001,488
