Date	Basic Weighted Avg Shares
	
Q2 2022 Est	
Q1 2022 Est	
Q4 2021	773000000.00
Q3 2021	789000000.00
Q2 2021	789000000.00
Q1 2021	789000000.00
Q4 2020	790000000.00
Q3 2020	790000000.00
Q2 2020	790000000.00
Q1 2020	794000000.00
Q4 2019	800000000.00
Q3 2019	802000000.00
Q2 2019	813000000.00
Q1 2019	819000000.00
Q4 2018	829000000.00
Q3 2018	848000000.00
Q2 2018	854000000.00
Q1 2018	851000000.00
Q4 2017	850000000.00
Q3 2017	850000000.00
Q2 2017	850000000.00
Q1 2017	849000000.00
Q4 2016	847000000.00
Q3 2016	847000000.00
Q2 2016	848000000.00
Q1 2016	730000000.00
Q4 2015	678000000.00
Q3 2015	677000000.00
Q2 2015	677000000.00
Q1 2015	675000000.00
Q4 2014	675000000.00
Q3 2014	675000000.00
Q2 2014	676000000.00
Q1 2014	693000000.00
Q4 2013	697000000.00
Q3 2013	707000000.00
Q2 2013	710000000.00
Q1 2013	708000000.00
Q4 2012	707000000.00
Q3 2012	706000000.00
	
