cdates,cashflow
19-Nov-2021,1146000000
19-Aug-2021,816000000
19-May-2021,655000000
17-Feb-2021,622000000
19-Nov-2020,418000000
19-Aug-2020,345000000
19-May-2020,9000000
18-Feb-2020,701000000
19-Nov-2019,700000000
19-Aug-2019,737000000
19-May-2019,797000000
17-Feb-2019,515000000
19-Nov-2018,855000000
19-Aug-2018,963000000
19-May-2018,767000000
17-Feb-2018,649000000
19-Nov-2017,501000000
19-Aug-2017,564000000
19-May-2017,422000000
17-Feb-2017,501000000
19-Nov-2016,552000000
19-Aug-2016,259000000
19-May-2016,198000000
18-Feb-2016,69000000
19-Nov-2015,363000000
19-Aug-2015,496000000
19-May-2015,408000000
17-Feb-2015,309000000
19-Nov-2014,1155000064
19-Aug-2014,1774000000
19-May-2014,1088000000
17-Feb-2014,1470000000
19-Nov-2013,1228999936
19-Aug-2013,1644999936
19-May-2013,868000000
17-Feb-2013,1528000000
19-Nov-2012,1204999936
19-Aug-2012,1070000000
19-May-2012,769000000
18-Feb-2012,973000000
