dateswti,Open Interest
4-Jan-00,25.55
5-Jan-00,24.91
6-Jan-00,24.78
7-Jan-00,24.22
10-Jan-00,24.67
11-Jan-00,25.77
12-Jan-00,26.28
13-Jan-00,26.69
14-Jan-00,28.02
18-Jan-00,28.85
19-Jan-00,29.54
20-Jan-00,29.66
21-Jan-00,28.2
24-Jan-00,27.83
25-Jan-00,28.28
26-Jan-00,27.84
27-Jan-00,27.32
28-Jan-00,27.22
31-Jan-00,27.64
1-Feb-00,28.22
2-Feb-00,27.55
3-Feb-00,28.03
4-Feb-00,28.82
7-Feb-00,28.45
8-Feb-00,28.02
9-Feb-00,28.77
10-Feb-00,29.43
11-Feb-00,29.44
14-Feb-00,30.25
15-Feb-00,30.06
16-Feb-00,30.05
17-Feb-00,29.46
18-Feb-00,29.51
22-Feb-00,29.62
23-Feb-00,29.39
24-Feb-00,29.97
25-Feb-00,30.35
28-Feb-00,30.13
29-Feb-00,30.43
1-Mar-00,31.77
2-Mar-00,31.69
3-Mar-00,31.51
6-Mar-00,32.18
7-Mar-00,34.13
8-Mar-00,31.26
9-Mar-00,31.69
10-Mar-00,31.76
13-Mar-00,32.02
14-Mar-00,31.69
15-Mar-00,30.72
16-Mar-00,31.09
17-Mar-00,30.91
20-Mar-00,29.43
21-Mar-00,28
22-Mar-00,27.46
23-Mar-00,27.31
24-Mar-00,28.02
27-Mar-00,27.79
28-Mar-00,27.09
29-Mar-00,26.45
30-Mar-00,26.7
31-Mar-00,26.9
3-Apr-00,26.43
4-Apr-00,25.45
5-Apr-00,25.83
6-Apr-00,25.69
7-Apr-00,25.04
10-Apr-00,23.85
11-Apr-00,24.14
12-Apr-00,25.41
13-Apr-00,25.38
14-Apr-00,25.57
17-Apr-00,25.89
18-Apr-00,26.11
19-Apr-00,27.35
20-Apr-00,25.88
24-Apr-00,26.04
25-Apr-00,25.33
26-Apr-00,24.65
27-Apr-00,25.42
28-Apr-00,25.74
1-May-00,25.87
2-May-00,26.89
3-May-00,26.75
4-May-00,26.98
5-May-00,27.29
8-May-00,28.09
9-May-00,28.65
10-May-00,28.1
11-May-00,29.11
12-May-00,29.62
15-May-00,29.92
16-May-00,29.73
17-May-00,29.32
18-May-00,30.33
19-May-00,29.89
22-May-00,28.61
23-May-00,28.78
24-May-00,29.93
25-May-00,30.51
26-May-00,30
30-May-00,30.35
31-May-00,29.01
1-Jun-00,30.14
2-Jun-00,30.35
5-Jun-00,29.7
6-Jun-00,29.75
7-Jun-00,29.95
8-Jun-00,29.78
9-Jun-00,30.2
12-Jun-00,31.74
13-Jun-00,32.56
14-Jun-00,32.85
15-Jun-00,32.95
16-Jun-00,32.33
19-Jun-00,31.69
20-Jun-00,33.05
21-Jun-00,31.37
22-Jun-00,32.19
23-Jun-00,32.25
26-Jun-00,31.63
27-Jun-00,32.06
28-Jun-00,31.9
29-Jun-00,32.72
30-Jun-00,32.5
5-Jul-00,30.67
6-Jul-00,29.99
7-Jul-00,30.28
10-Jul-00,29.69
