dates,prices
01-Jul-1833,18.93
01-Aug-1833,18.93
01-Sep-1833,18.93
01-Oct-1833,18.93
01-Nov-1833,18.93
01-Dec-1833,18.93
01-Jan-1834,18.93
01-Feb-1834,18.93
01-Mar-1834,18.93
01-Apr-1834,18.93
01-May-1834,18.93
01-Jun-1834,18.93
01-Jul-1834,18.93
01-Aug-1834,18.93
01-Sep-1834,18.93
01-Oct-1834,18.93
01-Nov-1834,18.93
01-Dec-1834,18.93
01-Jan-1835,18.93
01-Feb-1835,18.93
01-Mar-1835,18.93
01-Apr-1835,18.93
01-May-1835,18.93
01-Jun-1835,18.93
01-Jul-1835,18.93
01-Aug-1835,18.93
01-Sep-1835,18.93
01-Oct-1835,18.93
01-Nov-1835,18.93
01-Dec-1835,18.93
01-Jan-1836,18.93
01-Feb-1836,18.93
01-Mar-1836,18.93
01-Apr-1836,18.93
01-May-1836,18.93
01-Jun-1836,18.93
01-Jul-1836,18.93
01-Aug-1836,18.93
01-Sep-1836,18.93
01-Oct-1836,18.93
01-Nov-1836,18.93
01-Dec-1836,18.93
01-Jan-1837,18.93
01-Feb-1837,18.93
01-Mar-1837,18.93
01-Apr-1837,18.93
01-May-1837,18.93
01-Jun-1837,18.93
01-Jul-1837,18.93
01-Aug-1837,18.93
01-Sep-1837,18.93
01-Oct-1837,18.93
01-Nov-1837,18.93
01-Dec-1837,18.93
01-Jan-1838,18.93
01-Feb-1838,18.93
01-Mar-1838,18.93
01-Apr-1838,18.93
01-May-1838,18.93
01-Jun-1838,18.93
01-Jul-1838,18.93
01-Aug-1838,18.93
01-Sep-1838,18.93
01-Oct-1838,18.93
01-Nov-1838,18.93
01-Dec-1838,18.93
01-Jan-1839,18.93
01-Feb-1839,18.93
01-Mar-1839,18.93
01-Apr-1839,18.93
01-May-1839,18.93
01-Jun-1839,18.93
01-Jul-1839,18.93
01-Aug-1839,18.93
01-Sep-1839,18.93
01-Oct-1839,18.93
01-Nov-1839,18.93
01-Dec-1839,18.93
01-Jan-1840,18.93
01-Feb-1840,18.93
01-Mar-1840,18.93
01-Apr-1840,18.93
01-May-1840,18.93
01-Jun-1840,18.93
01-Jul-1840,18.93
01-Aug-1840,18.93
01-Sep-1840,18.93
01-Oct-1840,18.93
01-Nov-1840,18.93
01-Dec-1840,18.93
01-Jan-1841,18.93
01-Feb-1841,18.93
01-Mar-1841,18.93
01-Apr-1841,18.93
01-May-1841,18.93
01-Jun-1841,18.93
01-Jul-1841,18.93
01-Aug-1841,18.93
01-Sep-1841,18.93
01-Oct-1841,18.93
01-Nov-1841,18.93
01-Dec-1841,18.93
01-Jan-1842,18.93
01-Feb-1842,18.93
01-Mar-1842,18.93
01-Apr-1842,18.93
01-May-1842,18.93
01-Jun-1842,18.93
01-Jul-1842,18.93
01-Aug-1842,18.93
01-Sep-1842,18.93
01-Oct-1842,18.93
01-Nov-1842,18.93
01-Dec-1842,18.93
01-Jan-1843,18.93
01-Feb-1843,18.93
01-Mar-1843,18.93
01-Apr-1843,18.93
01-May-1843,18.93
01-Jun-1843,18.93
01-Jul-1843,18.93
01-Aug-1843,18.93
01-Sep-1843,18.93
01-Oct-1843,18.93
01-Nov-1843,18.93
01-Dec-1843,18.93
01-Jan-1844,18.93
01-Feb-1844,18.93
01-Mar-1844,18.93
01-Apr-1844,18.93
01-May-1844,18.93
01-Jun-1844,18.93
01-Jul-1844,18.93
01-Aug-1844,18.93
01-Sep-1844,18.93
01-Oct-1844,18.93
01-Nov-1844,18.93
01-Dec-1844,18.93
01-Jan-1845,18.93
01-Feb-1845,18.93
01-Mar-1845,18.93
01-Apr-1845,18.93
01-May-1845,18.93
01-Jun-1845,18.93
01-Jul-1845,18.93
01-Aug-1845,18.93
01-Sep-1845,18.93
01-Oct-1845,18.93
01-Nov-1845,18.93
01-Dec-1845,18.93
01-Jan-1846,18.93
01-Feb-1846,18.93
01-Mar-1846,18.93
01-Apr-1846,18.93
01-May-1846,18.93
01-Jun-1846,18.93
01-Jul-1846,18.93
01-Aug-1846,18.93
01-Sep-1846,18.93
01-Oct-1846,18.93
01-Nov-1846,18.93
01-Dec-1846,18.93
01-Jan-1847,18.93
01-Feb-1847,18.93
01-Mar-1847,18.93
01-Apr-1847,18.93
01-May-1847,18.93
01-Jun-1847,18.93
01-Jul-1847,18.93
01-Aug-1847,18.93
01-Sep-1847,18.93
01-Oct-1847,18.93
01-Nov-1847,18.93
01-Dec-1847,18.93
01-Jan-1848,18.93
01-Feb-1848,18.93
01-Mar-1848,18.93
01-Apr-1848,18.93
01-May-1848,18.93
01-Jun-1848,18.93
01-Jul-1848,18.93
01-Aug-1848,18.93
01-Sep-1848,18.93
01-Oct-1848,18.93
01-Nov-1848,18.93
01-Dec-1848,18.93
01-Jan-1849,18.93
01-Feb-1849,18.93
01-Mar-1849,18.93
01-Apr-1849,18.93
01-May-1849,18.93
01-Jun-1849,18.93
01-Jul-1849,18.93
01-Aug-1849,18.93
01-Sep-1849,18.93
01-Oct-1849,18.93
01-Nov-1849,18.93
01-Dec-1849,18.93
01-Jan-1850,18.93
01-Feb-1850,18.93
01-Mar-1850,18.93
01-Apr-1850,18.93
01-May-1850,18.93
01-Jun-1850,18.93
01-Jul-1850,18.93
01-Aug-1850,18.93
01-Sep-1850,18.93
01-Oct-1850,18.93
01-Nov-1850,18.93
01-Dec-1850,18.93
01-Jan-1851,18.93
01-Feb-1851,18.93
01-Mar-1851,18.93
01-Apr-1851,18.93
01-May-1851,18.93
01-Jun-1851,18.93
01-Jul-1851,18.93
01-Aug-1851,18.93
01-Sep-1851,18.93
01-Oct-1851,18.93
01-Nov-1851,18.93
01-Dec-1851,18.93
01-Jan-1852,18.93
01-Feb-1852,18.93
01-Mar-1852,18.93
01-Apr-1852,18.93
01-May-1852,18.93
01-Jun-1852,18.93
01-Jul-1852,18.93
01-Aug-1852,18.93
01-Sep-1852,18.93
01-Oct-1852,18.93
01-Nov-1852,18.93
01-Dec-1852,18.93
01-Jan-1853,18.9299999999999
01-Feb-1853,18.9299999999999
01-Mar-1853,18.9299999999999
01-Apr-1853,18.9299999999999
01-May-1853,18.93
01-Jun-1853,18.93
01-Jul-1853,18.93
01-Aug-1853,18.93
01-Sep-1853,18.9300000000001
01-Oct-1853,18.9300000000001
01-Nov-1853,18.9300000000001
01-Dec-1853,18.9300000000002
01-Jan-1854,18.9300000000002
01-Feb-1854,18.9300000000002
01-Mar-1854,18.9300000000002
01-Apr-1854,18.9300000000002
01-May-1854,18.9300000000001
01-Jun-1854,18.9300000000001
01-Jul-1854,18.93
01-Aug-1854,18.9299999999999
01-Sep-1854,18.9299999999998
01-Oct-1854,18.9299999999996
01-Nov-1854,18.9299999999995
01-Dec-1854,18.9299999999994
01-Jan-1855,18.9299999999993
01-Feb-1855,18.9299999999992
01-Mar-1855,18.9299999999993
01-Apr-1855,18.9299999999993
01-May-1855,18.9299999999995
01-Jun-1855,18.9299999999997
01-Jul-1855,18.93
01-Aug-1855,18.9300000000004
01-Sep-1855,18.9300000000009
01-Oct-1855,18.9300000000014
01-Nov-1855,18.9300000000019
01-Dec-1855,18.9300000000023
01-Jan-1856,18.9300000000027
01-Feb-1856,18.9300000000028
01-Mar-1856,18.9300000000028
01-Apr-1856,18.9300000000026
01-May-1856,18.930000000002
01-Jun-1856,18.9300000000012
01-Jul-1856,18.93
01-Aug-1856,18.9299999999984
01-Sep-1856,18.9299999999966
01-Oct-1856,18.9299999999947
01-Nov-1856,18.9299999999929
01-Dec-1856,18.9299999999913
01-Jan-1857,18.9299999999901
01-Feb-1857,18.9299999999895
01-Mar-1857,18.9299999999896
01-Apr-1857,18.9299999999905
01-May-1857,18.9299999999924
01-Jun-1857,18.9299999999956
01-Jul-1857,18.93
01-Aug-1857,18.9300000000059
01-Sep-1857,18.9300000000128
01-Oct-1857,18.9300000000198
01-Nov-1857,18.9300000000267
01-Dec-1857,18.9300000000324
01-Jan-1858,18.9300000000369
01-Feb-1858,18.9300000000392
01-Mar-1858,18.930000000039
01-Apr-1858,18.9300000000355
01-May-1858,18.9300000000283
01-Jun-1858,18.9300000000164
01-Jul-1858,18.93
01-Aug-1858,18.9299999999778
01-Sep-1858,18.9299999999521
01-Oct-1858,18.9299999999262
01-Nov-1858,18.9299999999005
01-Dec-1858,18.9299999998789
01-Jan-1859,18.9299999998622
01-Feb-1859,18.9299999998536
01-Mar-1859,18.9299999998546
01-Apr-1859,18.9299999998676
01-May-1859,18.9299999998943
01-Jun-1859,18.9299999999387
01-Jul-1859,18.93
01-Aug-1859,18.9300000000828
01-Sep-1859,18.9300000001786
01-Oct-1859,18.9300000002755
01-Nov-1859,18.9300000003716
01-Dec-1859,18.9300000004525
01-Jan-1860,18.9300000005152
01-Feb-1860,18.9300000005482
01-Mar-1860,18.9300000005445
01-Apr-1860,18.9300000004953
01-May-1860,18.9300000003953
01-Jun-1860,18.9300000002293
01-Jul-1860,18.93
01-Aug-1860,18.9299999996906
01-Sep-1860,18.9299999993329
01-Oct-1860,18.9299999989715
01-Nov-1860,18.9299999986138
01-Dec-1860,18.929999998313
01-Jan-1861,18.9299999980806
01-Feb-1861,18.9299999979601
01-Mar-1861,18.9299999979743
01-Apr-1861,18.9299999981561
01-May-1861,18.9299999985278
01-Jun-1861,18.9299999991456
01-Jul-1861,18.93
01-Aug-1861,18.9300000011538
01-Sep-1861,18.9300000024877
01-Oct-1861,18.9300000038361
01-Nov-1861,18.930000005171
01-Dec-1861,18.9300000062936
01-Jan-1862,18.9300000071609
01-Feb-1862,18.9300000076111
01-Mar-1862,18.9300000075585
01-Apr-1862,18.9300000068804
01-May-1862,18.9300000054937
01-Jun-1862,18.9300000031883
01-Jul-1862,18.93
01-Aug-1862,18.9299999956941
01-Sep-1862,18.9299999907161
01-Oct-1862,18.9299999856841
01-Nov-1862,18.9299999807023
01-Dec-1862,18.9299999765127
01-Jan-1863,18.9299999732757
01-Feb-1863,18.9299999715956
