dates,TSLA,UBER,FB,NFLX,YANG,OPK,MRO,CCL,WW,RCL,OXY,REGN,DIA,GNMK,CVX,MAR,CIM,USO,UCO,DAL,GOOG,NKLA,TTOO,QEP,WKHS,GILD,RUN,RIG,AAPL,TWTR,BP,PXD,DVN,MJ,XOP,LAZR,NOG,KMI,NBLX,RDSA,FANG,CPE
01-Jan-2020,42067,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Feb-2020,70254,660,2140,4400,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Mar-2020,187838,0,0,0,0,400,850,1125,1240,1300,1470,2000,2020,370,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-2020,115098,0,0,6450,0,0,850,1125,1240,1300,1470,200,1120,470,4400,1400,8000,34799,1870,19860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-May-2020,115098,0,13770,0,0,0,0,435,670,0,23742,200,780,100,1200,0,8000,34799,1870,19860,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jun-2020,226598,0,13770,0,0,0,0,435,670,0,69289,200,780,100,1200,0,4000,34799,1870,9960,9200,7375,1050,2900,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jul-2020,247568,0,13770,0,0,0,0,435,670,0,132484,200,780,100,1200,0,4000,35197,1870,9960,9200,-11100,1050,2900,2100,4350,5500,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Aug-2020,231873,0,13770,0,0,0,0,435,670,0,148814,200,780,100,1200,0,4000,35197,1870,9960,9200,-10287,1050,2900,0,4350,3850,350,950,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Sep-2020,346968,0,13770,0,0,0,0,435,670,0,164228,200,780,100,1200,0,5000,35197,1870,9960,9200,-10287,1050,2900,0,4350,3850,668,950,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-2020,358458,0,18780,0,0,0,0,435,670,0,167108,200,780,100,1200,0,5000,35197,1870,9960,10400,-11100,1050,2900,0,6305,3850,668,950,1660,10500,4100,0,0,0,0,0,0,0,0,0,0
01-Nov-2020,319838,0,18780,0,0,0,0,435,670,0,198198,200,780,100,24200,0,10475,35197,1870,9960,10400,-11100,1050,2900,0,6305,3850,668,950,1660,24300,4100,1940,36000,171338,0,0,0,0,0,0,0
01-Dec-2020,333745,0,5010,0,0,0,0,435,670,0,155092,200,780,100,24200,0,21325,35197,1870,9960,10400,-11100,0,2900,0,2265,3850,668,950,0,29541,4100,1940,24000,171338,2325,62815,28000,24000,3950,26800,14922
